chutes,ladders,board_type,exact_roll,board_num,game_length,frequency
9,10,random,0,18,26,8
9,10,random,0,18,213,2
9,10,random,0,18,69,10
9,10,random,0,18,10,8
9,10,random,0,18,41,7
9,10,random,0,18,44,6
9,10,random,0,18,448,1
9,10,random,0,18,103,7
9,10,random,0,18,205,1
9,10,random,0,18,109,4
9,10,random,0,18,145,3
9,10,random,0,18,373,2
9,10,random,0,18,293,1
9,10,random,0,18,102,5
9,10,random,0,18,63,8
9,10,random,0,18,12,2
9,10,random,0,18,17,9
9,10,random,0,18,414,1
9,10,random,0,18,47,6
9,10,random,0,18,154,8
9,10,random,0,18,91,6
9,10,random,0,18,181,3
9,10,random,0,18,253,1
9,10,random,0,18,217,2
9,10,random,0,18,468,1
9,10,random,0,18,450,1
9,10,random,0,18,32,5
9,10,random,0,18,92,4
9,10,random,0,18,221,2
9,10,random,0,18,153,7
9,10,random,0,18,199,5
9,10,random,0,18,159,2
9,10,random,0,18,171,1
9,10,random,0,18,59,6
9,10,random,0,18,163,3
9,10,random,0,18,96,4
9,10,random,0,18,56,7
9,10,random,0,18,391,1
9,10,random,0,18,80,3
9,10,random,0,18,273,1
